model,family,generation,category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
Gemma-2-2B-Instruct,gemma,gemma2,biology,180,98,0.544444,1.0,0.0,2081.928
Gemma-2-2B-Instruct,gemma,gemma2,business,188,63,0.335106,0.957447,0.042553,1229.059
Gemma-2-2B-Instruct,gemma,gemma2,chemistry,302,90,0.298013,1.0,0.0,1648.053
Gemma-2-2B-Instruct,gemma,gemma2,computer science,106,35,0.330189,1.0,0.0,1801.717
Gemma-2-2B-Instruct,gemma,gemma2,economics,202,96,0.475248,1.0,0.0,2151.886
Gemma-2-2B-Instruct,gemma,gemma2,engineering,249,40,0.160643,0.995984,0.004016,2092.133
Gemma-2-2B-Instruct,gemma,gemma2,health,198,65,0.328283,1.0,0.0,2084.793
Gemma-2-2B-Instruct,gemma,gemma2,history,99,24,0.242424,1.0,0.0,2047.03
Gemma-2-2B-Instruct,gemma,gemma2,law,263,56,0.212928,1.0,0.0,2498.122
Gemma-2-2B-Instruct,gemma,gemma2,math,335,100,0.298507,0.991045,0.008955,1283.89
Gemma-2-2B-Instruct,gemma,gemma2,other,230,64,0.278261,0.986957,0.013043,1643.948
Gemma-2-2B-Instruct,gemma,gemma2,philosophy,126,31,0.246032,0.992063,0.007937,2045.897
Gemma-2-2B-Instruct,gemma,gemma2,physics,324,99,0.305556,0.993827,0.006173,1694.074
Gemma-2-2B-Instruct,gemma,gemma2,psychology,206,92,0.446602,1.0,0.0,2342.505
Gemma-3-1B-Instruct,gemma,gemma3,biology,180,26,0.144444,1.0,0.0,1879.261
Gemma-3-1B-Instruct,gemma,gemma3,business,188,22,0.117021,0.968085,0.031915,935.367
Gemma-3-1B-Instruct,gemma,gemma3,chemistry,302,22,0.072848,0.983444,0.016556,938.94
Gemma-3-1B-Instruct,gemma,gemma3,computer science,106,13,0.122642,1.0,0.0,1298.472
Gemma-3-1B-Instruct,gemma,gemma3,economics,202,35,0.173267,1.0,0.0,1722.851
Gemma-3-1B-Instruct,gemma,gemma3,engineering,249,31,0.124498,0.97992,0.02008,963.177
Gemma-3-1B-Instruct,gemma,gemma3,health,198,28,0.141414,1.0,0.0,1588.702
Gemma-3-1B-Instruct,gemma,gemma3,history,99,13,0.131313,1.0,0.0,2235.343
Gemma-3-1B-Instruct,gemma,gemma3,law,263,27,0.102662,1.0,0.0,2504.179
Gemma-3-1B-Instruct,gemma,gemma3,math,335,34,0.101493,0.967164,0.032836,815.451
Gemma-3-1B-Instruct,gemma,gemma3,other,230,26,0.113043,1.0,0.0,1247.365
Gemma-3-1B-Instruct,gemma,gemma3,philosophy,126,17,0.134921,1.0,0.0,1414
Gemma-3-1B-Instruct,gemma,gemma3,physics,324,30,0.092593,1.0,0.0,1028.549
Gemma-3-1B-Instruct,gemma,gemma3,psychology,206,30,0.145631,1.0,0.0,1791.175
Gemma-3-1B-it,gemma,gemma3,biology,180,59,0.327778,1.0,0.0,2317.2
Gemma-3-1B-it,gemma,gemma3,business,188,29,0.154255,0.941489,0.058511,1578.282
Gemma-3-1B-it,gemma,gemma3,chemistry,302,34,0.112583,0.990066,0.009934,1767.47
Gemma-3-1B-it,gemma,gemma3,computer science,106,22,0.207547,0.990566,0.009434,1842.604
Gemma-3-1B-it,gemma,gemma3,economics,202,56,0.277228,1.0,0.0,2221.728
Gemma-3-1B-it,gemma,gemma3,engineering,249,28,0.11245,0.983936,0.016064,2013.422
Gemma-3-1B-it,gemma,gemma3,health,198,36,0.181818,1.0,0.0,2240.879
Gemma-3-1B-it,gemma,gemma3,history,99,20,0.20202,1.0,0.0,2362.525
Gemma-3-1B-it,gemma,gemma3,law,263,36,0.136882,1.0,0.0,2957.03
Gemma-3-1B-it,gemma,gemma3,math,335,45,0.134328,0.901493,0.098507,1637.221
Gemma-3-1B-it,gemma,gemma3,other,230,48,0.208696,0.991304,0.008696,1649.174
Gemma-3-1B-it,gemma,gemma3,philosophy,126,20,0.15873,1.0,0.0,2212.262
Gemma-3-1B-it,gemma,gemma3,physics,324,39,0.12037,0.993827,0.006173,1861.259
Gemma-3-1B-it,gemma,gemma3,psychology,206,55,0.26699,1.0,0.0,2505.359
Gemma-3-270M-Instruct,gemma,gemma3,biology,180,15,0.083333,1.0,0.0,898.617
Gemma-3-270M-Instruct,gemma,gemma3,business,188,27,0.143617,0.941489,0.058511,302.404
Gemma-3-270M-Instruct,gemma,gemma3,chemistry,302,23,0.076159,0.884106,0.115894,275.189
Gemma-3-270M-Instruct,gemma,gemma3,computer science,106,17,0.160377,0.962264,0.037736,521.434
Gemma-3-270M-Instruct,gemma,gemma3,economics,202,22,0.108911,0.99505,0.00495,745.782
Gemma-3-270M-Instruct,gemma,gemma3,engineering,249,20,0.080321,0.899598,0.100402,314.197
Gemma-3-270M-Instruct,gemma,gemma3,health,198,28,0.141414,0.994949,0.005051,632.702
Gemma-3-270M-Instruct,gemma,gemma3,history,99,16,0.161616,0.989899,0.010101,1441.081
Gemma-3-270M-Instruct,gemma,gemma3,law,263,25,0.095057,1.0,0.0,1633.38
Gemma-3-270M-Instruct,gemma,gemma3,math,335,35,0.104478,0.889552,0.110448,216.746
Gemma-3-270M-Instruct,gemma,gemma3,other,230,23,0.1,0.986957,0.013043,498.109
Gemma-3-270M-Instruct,gemma,gemma3,philosophy,126,15,0.119048,0.984127,0.015873,588.556
Gemma-3-270M-Instruct,gemma,gemma3,physics,324,28,0.08642,0.959877,0.040123,322.259
Gemma-3-270M-Instruct,gemma,gemma3,psychology,206,20,0.097087,0.995146,0.004854,783.816
Gemma-4-E2B-Instruct,gemma,gemma4,biology,180,1,0.005556,0.022222,0.977778,820.728
Gemma-4-E2B-Instruct,gemma,gemma4,business,188,9,0.047872,0.074468,0.925532,350.516
Gemma-4-E2B-Instruct,gemma,gemma4,chemistry,302,11,0.036424,0.125828,0.874172,487.474
Gemma-4-E2B-Instruct,gemma,gemma4,computer science,106,1,0.009434,0.04717,0.95283,527.094
Gemma-4-E2B-Instruct,gemma,gemma4,economics,202,0,0.0,0.0,1.0,660.743
Gemma-4-E2B-Instruct,gemma,gemma4,engineering,249,12,0.048193,0.168675,0.831325,605.285
Gemma-4-E2B-Instruct,gemma,gemma4,health,198,0,0.0,0.010101,0.989899,561.268
Gemma-4-E2B-Instruct,gemma,gemma4,history,99,1,0.010101,0.020202,0.979798,889.576
Gemma-4-E2B-Instruct,gemma,gemma4,law,263,1,0.003802,0.022814,0.977186,1015.658
Gemma-4-E2B-Instruct,gemma,gemma4,math,335,12,0.035821,0.074627,0.925373,287.522
Gemma-4-E2B-Instruct,gemma,gemma4,other,230,0,0.0,0.0,1.0,435.243
Gemma-4-E2B-Instruct,gemma,gemma4,philosophy,126,1,0.007937,0.007937,0.992063,511.96
Gemma-4-E2B-Instruct,gemma,gemma4,physics,324,6,0.018519,0.052469,0.947531,358.63
Gemma-4-E2B-Instruct,gemma,gemma4,psychology,206,0,0.0,0.0,1.0,693.432
Llama-3.2-1B-Instruct,llama,llama3.2,biology,180,55,0.305556,1.0,0.0,2294.028
Llama-3.2-1B-Instruct,llama,llama3.2,business,188,40,0.212766,0.925532,0.074468,1282.41
Llama-3.2-1B-Instruct,llama,llama3.2,chemistry,302,57,0.188742,0.970199,0.029801,1657.917
Llama-3.2-1B-Instruct,llama,llama3.2,computer science,106,22,0.207547,0.990566,0.009434,1833.481
Llama-3.2-1B-Instruct,llama,llama3.2,economics,202,55,0.272277,0.99505,0.00495,2169.802
Llama-3.2-1B-Instruct,llama,llama3.2,engineering,249,34,0.136546,0.983936,0.016064,1883.084
Llama-3.2-1B-Instruct,llama,llama3.2,health,198,46,0.232323,1.0,0.0,2121.308
Llama-3.2-1B-Instruct,llama,llama3.2,history,99,16,0.161616,1.0,0.0,2289.152
Llama-3.2-1B-Instruct,llama,llama3.2,law,263,42,0.159696,0.992395,0.007605,2458.643
Llama-3.2-1B-Instruct,llama,llama3.2,math,335,82,0.244776,0.958209,0.041791,1446.719
Llama-3.2-1B-Instruct,llama,llama3.2,other,230,44,0.191304,0.982609,0.017391,1616.991
Llama-3.2-1B-Instruct,llama,llama3.2,philosophy,126,14,0.111111,0.992063,0.007937,1984.175
Llama-3.2-1B-Instruct,llama,llama3.2,physics,324,59,0.182099,0.987654,0.012346,1626.664
Llama-3.2-1B-Instruct,llama,llama3.2,psychology,206,71,0.34466,0.995146,0.004854,2414.17
Phi-2,phi,phi2,biology,180,23,0.127778,0.894444,0.105556,1720.389
Phi-2,phi,phi2,business,188,17,0.090426,0.904255,0.095745,1109.282
Phi-2,phi,phi2,chemistry,302,26,0.086093,0.877483,0.122517,1479.321
Phi-2,phi,phi2,computer science,106,12,0.113208,0.924528,0.075472,1515.943
Phi-2,phi,phi2,economics,202,32,0.158416,0.950495,0.049505,1479.134
Phi-2,phi,phi2,engineering,249,28,0.11245,0.84739,0.15261,1715.157
Phi-2,phi,phi2,health,198,29,0.146465,0.964646,0.035354,1945.636
Phi-2,phi,phi2,history,99,16,0.161616,0.919192,0.080808,2029.859
Phi-2,phi,phi2,law,263,27,0.102662,0.840304,0.159696,2000.297
Phi-2,phi,phi2,math,335,30,0.089552,0.928358,0.071642,1054.896
Phi-2,phi,phi2,other,230,31,0.134783,0.973913,0.026087,1385.93
Phi-2,phi,phi2,philosophy,126,21,0.166667,0.968254,0.031746,1314.929
Phi-2,phi,phi2,physics,324,38,0.117284,0.851852,0.148148,1316.867
Phi-2,phi,phi2,psychology,206,25,0.121359,0.956311,0.043689,1756.087
Qwen2-0.5B-Instruct,qwen,qwen2,biology,180,31,0.172222,0.994444,0.005556,1026.356
Qwen2-0.5B-Instruct,qwen,qwen2,business,188,14,0.074468,0.968085,0.031915,1044.128
Qwen2-0.5B-Instruct,qwen,qwen2,chemistry,302,26,0.086093,0.983444,0.016556,1248.437
Qwen2-0.5B-Instruct,qwen,qwen2,computer science,106,16,0.150943,1.0,0.0,1246.368
Qwen2-0.5B-Instruct,qwen,qwen2,economics,202,38,0.188119,0.985149,0.014851,1167.124
Qwen2-0.5B-Instruct,qwen,qwen2,engineering,249,25,0.100402,0.987952,0.012048,1423.45
Qwen2-0.5B-Instruct,qwen,qwen2,health,198,29,0.146465,0.994949,0.005051,1126.52
Qwen2-0.5B-Instruct,qwen,qwen2,history,99,17,0.171717,1.0,0.0,698.485
Qwen2-0.5B-Instruct,qwen,qwen2,law,263,38,0.144487,0.988593,0.011407,967.551
Qwen2-0.5B-Instruct,qwen,qwen2,math,335,51,0.152239,0.973134,0.026866,1141.328
Qwen2-0.5B-Instruct,qwen,qwen2,other,230,24,0.104348,0.995652,0.004348,1053.796
Qwen2-0.5B-Instruct,qwen,qwen2,philosophy,126,16,0.126984,0.992063,0.007937,905.087
Qwen2-0.5B-Instruct,qwen,qwen2,physics,324,29,0.089506,0.981481,0.018519,1219.414
Qwen2-0.5B-Instruct,qwen,qwen2,psychology,206,37,0.179612,0.995146,0.004854,1300.121
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,biology,180,47,0.261111,1.0,0.0,2430.767
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,business,188,31,0.164894,0.994681,0.005319,1692.654
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,chemistry,302,38,0.125828,0.990066,0.009934,1997.791
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,computer science,106,20,0.188679,0.990566,0.009434,2141.745
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,economics,202,44,0.217822,0.99505,0.00495,2486.837
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,engineering,249,32,0.128514,1.0,0.0,2261.265
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,health,198,20,0.10101,0.989899,0.010101,2185.904
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,history,99,20,0.20202,1.0,0.0,2333.414
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,law,263,30,0.114068,1.0,0.0,2850.605
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,math,335,68,0.202985,0.964179,0.035821,1735.307
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,other,230,44,0.191304,1.0,0.0,1890.526
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,philosophy,126,19,0.150794,1.0,0.0,2231.548
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,physics,324,40,0.123457,1.0,0.0,2078.12
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,psychology,206,42,0.203883,1.0,0.0,2441.49
Qwen2.5-3B-Instruct,qwen,qwen2.5,biology,180,114,0.633333,0.994444,0.005556,2546.272
Qwen2.5-3B-Instruct,qwen,qwen2.5,business,188,101,0.537234,0.989362,0.010638,1788.255
Qwen2.5-3B-Instruct,qwen,qwen2.5,chemistry,302,116,0.384106,0.996689,0.003311,2007.685
Qwen2.5-3B-Instruct,qwen,qwen2.5,computer science,106,42,0.396226,1.0,0.0,2103.387
Qwen2.5-3B-Instruct,qwen,qwen2.5,economics,202,120,0.594059,1.0,0.0,2532.347
Qwen2.5-3B-Instruct,qwen,qwen2.5,engineering,249,65,0.261044,1.0,0.0,2299.747
Qwen2.5-3B-Instruct,qwen,qwen2.5,health,198,96,0.484848,1.0,0.0,2313.419
Qwen2.5-3B-Instruct,qwen,qwen2.5,history,99,36,0.363636,1.0,0.0,2630.424
Qwen2.5-3B-Instruct,qwen,qwen2.5,law,263,56,0.212928,1.0,0.0,2885.502
Qwen2.5-3B-Instruct,qwen,qwen2.5,math,335,188,0.561194,0.99403,0.00597,1691.606
Qwen2.5-3B-Instruct,qwen,qwen2.5,other,230,102,0.443478,1.0,0.0,1862.474
Qwen2.5-3B-Instruct,qwen,qwen2.5,philosophy,126,38,0.301587,1.0,0.0,2511.468
Qwen2.5-3B-Instruct,qwen,qwen2.5,physics,324,145,0.447531,0.990741,0.009259,2084.275
Qwen2.5-3B-Instruct,qwen,qwen2.5,psychology,206,111,0.538835,0.995146,0.004854,2622.699
Qwen3-0.6B,qwen,qwen3,biology,180,61,0.338889,1.0,0.0,4228.483
Qwen3-0.6B,qwen,qwen3,business,188,72,0.382979,1.0,0.0,3256.617
Qwen3-0.6B,qwen,qwen3,chemistry,302,78,0.258278,1.0,0.0,3230.851
Qwen3-0.6B,qwen,qwen3,computer science,106,30,0.283019,1.0,0.0,3815.821
Qwen3-0.6B,qwen,qwen3,economics,202,71,0.351485,1.0,0.0,4277.411
Qwen3-0.6B,qwen,qwen3,engineering,249,53,0.212851,1.0,0.0,3583.695
Qwen3-0.6B,qwen,qwen3,health,198,45,0.227273,1.0,0.0,4120.758
Qwen3-0.6B,qwen,qwen3,history,99,21,0.212121,1.0,0.0,4297.192
Qwen3-0.6B,qwen,qwen3,law,263,30,0.114068,1.0,0.0,4689.03
Qwen3-0.6B,qwen,qwen3,math,335,137,0.408955,1.0,0.0,3074.325
Qwen3-0.6B,qwen,qwen3,other,230,51,0.221739,1.0,0.0,3872.343
Qwen3-0.6B,qwen,qwen3,philosophy,126,21,0.166667,1.0,0.0,4157.746
Qwen3-0.6B,qwen,qwen3,physics,324,99,0.305556,1.0,0.0,3477.383
Qwen3-0.6B,qwen,qwen3,psychology,206,73,0.354369,1.0,0.0,4414.539
Qwen3-4B-Instruct-2507,qwen,qwen3,biology,180,102,0.566667,1.0,0.0,3863.65
Qwen3-4B-Instruct-2507,qwen,qwen3,business,188,115,0.611702,1.0,0.0,2411.947
Qwen3-4B-Instruct-2507,qwen,qwen3,chemistry,302,149,0.493377,1.0,0.0,2425.954
Qwen3-4B-Instruct-2507,qwen,qwen3,computer science,106,56,0.528302,1.0,0.0,3171.208
Qwen3-4B-Instruct-2507,qwen,qwen3,economics,202,127,0.628713,1.0,0.0,3734.015
Qwen3-4B-Instruct-2507,qwen,qwen3,engineering,249,71,0.285141,1.0,0.0,2832.329
Qwen3-4B-Instruct-2507,qwen,qwen3,health,198,85,0.429293,1.0,0.0,3854.975
Qwen3-4B-Instruct-2507,qwen,qwen3,history,99,35,0.353535,1.0,0.0,4266.283
Qwen3-4B-Instruct-2507,qwen,qwen3,law,263,48,0.18251,1.0,0.0,4511.529
Qwen3-4B-Instruct-2507,qwen,qwen3,math,335,213,0.635821,1.0,0.0,2046.481
Qwen3-4B-Instruct-2507,qwen,qwen3,other,230,114,0.495652,1.0,0.0,3293.891
Qwen3-4B-Instruct-2507,qwen,qwen3,philosophy,126,62,0.492063,1.0,0.0,3733.23
Qwen3-4B-Instruct-2507,qwen,qwen3,physics,324,163,0.503086,0.996914,0.003086,2594.302
Qwen3-4B-Instruct-2507,qwen,qwen3,psychology,206,111,0.538835,1.0,0.0,4165.291
Qwen3.5-0.8B,qwen,qwen3.5,biology,180,98,0.544444,0.994444,0.005556,3184.172
Qwen3.5-0.8B,qwen,qwen3.5,business,188,74,0.393617,1.0,0.0,2323.585
Qwen3.5-0.8B,qwen,qwen3.5,chemistry,302,103,0.34106,0.996689,0.003311,2514.248
Qwen3.5-0.8B,qwen,qwen3.5,computer science,106,41,0.386792,1.0,0.0,2920.198
Qwen3.5-0.8B,qwen,qwen3.5,economics,202,94,0.465347,0.99505,0.00495,3211.866
Qwen3.5-0.8B,qwen,qwen3.5,engineering,249,46,0.184739,0.995984,0.004016,2606.422
Qwen3.5-0.8B,qwen,qwen3.5,health,198,59,0.29798,1.0,0.0,3320.222
Qwen3.5-0.8B,qwen,qwen3.5,history,99,22,0.222222,1.0,0.0,3556.97
Qwen3.5-0.8B,qwen,qwen3.5,law,263,45,0.171103,0.996198,0.003802,3767.768
Qwen3.5-0.8B,qwen,qwen3.5,math,335,131,0.391045,0.99403,0.00597,2168.764
Qwen3.5-0.8B,qwen,qwen3.5,other,230,58,0.252174,1.0,0.0,2798.487
Qwen3.5-0.8B,qwen,qwen3.5,philosophy,126,30,0.238095,1.0,0.0,3047.873
Qwen3.5-0.8B,qwen,qwen3.5,physics,324,104,0.320988,0.990741,0.009259,2591.827
Qwen3.5-0.8B,qwen,qwen3.5,psychology,206,89,0.432039,0.995146,0.004854,3284.786
Qwen3.5-2B,qwen,qwen3.5,biology,180,129,0.716667,1.0,0.0,3031.522
Qwen3.5-2B,qwen,qwen3.5,business,188,104,0.553191,0.994681,0.005319,2296.144
Qwen3.5-2B,qwen,qwen3.5,chemistry,302,138,0.456954,0.996689,0.003311,2462.589
Qwen3.5-2B,qwen,qwen3.5,computer science,106,56,0.528302,1.0,0.0,2818.491
Qwen3.5-2B,qwen,qwen3.5,economics,202,135,0.668317,0.99505,0.00495,3104.02
Qwen3.5-2B,qwen,qwen3.5,engineering,249,60,0.240964,1.0,0.0,2616.068
Qwen3.5-2B,qwen,qwen3.5,health,198,79,0.39899,1.0,0.0,3299.934
Qwen3.5-2B,qwen,qwen3.5,history,99,31,0.313131,1.0,0.0,3668.818
Qwen3.5-2B,qwen,qwen3.5,law,263,64,0.243346,1.0,0.0,4045.989
Qwen3.5-2B,qwen,qwen3.5,math,335,188,0.561194,0.997015,0.002985,2116.451
Qwen3.5-2B,qwen,qwen3.5,other,230,88,0.382609,1.0,0.0,2652.078
Qwen3.5-2B,qwen,qwen3.5,philosophy,126,51,0.404762,1.0,0.0,2945.008
Qwen3.5-2B,qwen,qwen3.5,physics,324,157,0.484568,0.993827,0.006173,2507.543
Qwen3.5-2B,qwen,qwen3.5,psychology,206,131,0.635922,1.0,0.0,3228.403
